Year,FireCCILT11,MCD64A1,FireCCI51,C3SBA10,Landsat,Sentinel-2
1982,73986.4990000001,NaN,NaN,NaN,NaN,NaN
1983,450455.506028237,NaN,NaN,NaN,NaN,NaN
1984,202382.864738824,NaN,NaN,NaN,NaN,NaN
1985,20352.26216,NaN,NaN,NaN,NaN,NaN
1986,6974.6408,NaN,NaN,NaN,NaN,NaN
1987,17032.3314152941,NaN,NaN,NaN,NaN,NaN
1988,119040.586983922,NaN,NaN,NaN,NaN,NaN
1989,67432.3646662745,NaN,NaN,NaN,NaN,NaN
1990,52352.5414941177,NaN,NaN,NaN,NaN,NaN
1991,44377.0175133333,NaN,NaN,NaN,NaN,NaN
1992,9402.7983,NaN,NaN,NaN,NaN,NaN
1993,57640.7706952941,NaN,NaN,NaN,NaN,NaN
1994,NaN,NaN,NaN,NaN,NaN,NaN
1995,82790.2733419607,NaN,NaN,NaN,NaN,NaN
1996,20239.5064984314,NaN,NaN,NaN,NaN,NaN
1997,12069.3589176471,NaN,NaN,NaN,NaN,NaN
1998,10948.1075513725,NaN,NaN,NaN,NaN,NaN
1999,23708.8104141177,NaN,NaN,NaN,NaN,NaN
2000,64066.8417313725,NaN,NaN,NaN,NaN,NaN
2001,967517.800914117,992518.172210521,1038783.14824564,NaN,NaN,NaN
2002,100924.471321176,105957.549104044,107837.348334733,NaN,NaN,NaN
2003,341066.514449412,405808.353326102,389250.076783224,NaN,NaN,NaN
2004,31729.5367439216,13705.091790625,18227.7508599609,NaN,NaN,NaN
2005,307782.843141177,218702.847719791,271616.653189023,NaN,NaN,NaN
2006,74684.5590031372,73146.3089048713,68568.9022822703,NaN,NaN,NaN
2007,72967.3751164706,49805.195840625,57264.0616897291,NaN,NaN,NaN
2008,23840.8591482353,44055.2117060662,23959.5112414062,NaN,NaN,NaN
2009,98681.4636270587,89213.6215967829,89581.8515422456,NaN,NaN,NaN
2010,167157.834716471,141473.310096875,161699.674814038,NaN,NaN,NaN
2011,94772.2879341177,149793.418543437,63658.8968869138,NaN,NaN,NaN
2012,105173.762283529,63386.4443087439,81933.9794567808,NaN,NaN,NaN
2013,501668.456385883,455171.629963761,439896.566879139,NaN,467224.782533826,NaN
2014,171272.938938823,103361.555143591,174004.48664044,NaN,138098.21160224,NaN
2015,42499.1129462745,34376.5605609375,29942.9326533203,NaN,29986.3853943983,NaN
2016,283346.941883922,258360.597947084,319167.199927092,NaN,264936.288810151,NaN
2017,15183.6034870588,22589.3661560171,16225.8644144531,18919.091639977,13480.4842420808,NaN
2018,515426.089408235,493311.935600666,577560.826731137,593411.766017017,572169.115436814,NaN
2019,NaN,1148469.26420643,1570359.67358227,1740496.80815476,1519116.55399806,1549187.80322211
2020,NaN,1705739.87605249,NaN,2380160.66276909,2585238.96730263,2616367.38596621
