Year,FireCCILT11,MCD64A1,FireCCI51,C3SBA10,Landsat,Sentinel-2
1982,89294.2182000001,NaN,NaN,NaN,NaN,NaN
1983,581121.987400001,NaN,NaN,NaN,NaN,NaN
1984,253878.9966,NaN,NaN,NaN,NaN,NaN
1985,88226.6149,NaN,NaN,NaN,NaN,NaN
1986,63584.1902,NaN,NaN,NaN,NaN,NaN
1987,95850.4058,NaN,NaN,NaN,NaN,NaN
1988,204770.7538,NaN,NaN,NaN,NaN,NaN
1989,141833.5297,NaN,NaN,NaN,NaN,NaN
1990,297966.9217,NaN,NaN,NaN,NaN,NaN
1991,124346.3354,NaN,NaN,NaN,NaN,NaN
1992,75689.6215999999,NaN,NaN,NaN,NaN,NaN
1993,160342.4344,NaN,NaN,NaN,NaN,NaN
1994,NaN,NaN,NaN,NaN,NaN,NaN
1995,317865.440499999,NaN,NaN,NaN,NaN,NaN
1996,93758.3713,NaN,NaN,NaN,NaN,NaN
1997,36141.8058,NaN,NaN,NaN,NaN,NaN
1998,110630.3068,NaN,NaN,NaN,NaN,NaN
1999,85384.8991,NaN,NaN,NaN,NaN,NaN
2000,99699.8642,NaN,NaN,NaN,NaN,NaN
2001,1011081.0264,1012495.00591719,1055923.35270562,NaN,NaN,NaN
2002,236690.7823,173674.782477439,145321.471542418,NaN,NaN,NaN
2003,478033.646000001,555304.161183798,509494.3574063,NaN,NaN,NaN
2004,561468.060599999,633978.3294192,696437.287876461,NaN,NaN,NaN
2005,559461.109900001,588497.270658328,495335.018278205,NaN,NaN,NaN
2006,121236.727,95830.7644625,89026.9345691829,NaN,NaN,NaN
2007,245903.8667,184685.979309517,184289.930383087,NaN,NaN,NaN
2008,112576.9815,74419.2492431495,40508.0177110064,NaN,NaN,NaN
2009,161937.0188,159538.384021875,136507.446837596,NaN,NaN,NaN
2010,301792.5497,228301.482318885,263603.980489759,NaN,NaN,NaN
2011,160206.4335,154771.132353125,73211.8706775588,NaN,NaN,NaN
2012,249978.6741,146571.61391375,145322.911032784,NaN,NaN,NaN
2013,596938.0841,569263.527829472,498840.500740424,NaN,467224.782533826,NaN
2014,197960.4209,127866.644076256,181462.248496006,NaN,138098.21160224,NaN
2015,165079.516,78957.644698272,80268.4467053809,NaN,29986.3853943983,NaN
2016,395978.5751,352101.075946728,391788.004181485,NaN,264936.288810151,NaN
2017,325958.1435,313731.685621875,314090.803083238,38834.2620697378,13480.4842420808,NaN
2018,569156.7458,523015.571334373,615173.566796805,600346.19973508,572169.115436814,NaN
2019,NaN,1395164.27602655,1804873.71075501,1759305.10141991,1519116.55399806,1549187.80322211
2020,NaN,1726055.36538742,NaN,2408012.06229788,2585238.96730263,2616367.38596621
