Year,FireCCILT11,MCD64A1,FireCCI51,C3SBA10,Landsat,Sentinel-2
1982,15254.8558270588,NaN,NaN,NaN,NaN,NaN
1983,95845.9204031372,NaN,NaN,NaN,NaN,NaN
1984,43648.7136047059,NaN,NaN,NaN,NaN,NaN
1985,6255.6063427451,NaN,NaN,NaN,NaN,NaN
1986,2482.95886941176,NaN,NaN,NaN,NaN,NaN
1987,2135.81093058824,NaN,NaN,NaN,NaN,NaN
1988,20399.6932219608,NaN,NaN,NaN,NaN,NaN
1989,15354.5309482353,NaN,NaN,NaN,NaN,NaN
1990,23472.4795121569,NaN,NaN,NaN,NaN,NaN
1991,13589.8446729412,NaN,NaN,NaN,NaN,NaN
1992,2844.70580470588,NaN,NaN,NaN,NaN,NaN
1993,8933.59470196078,NaN,NaN,NaN,NaN,NaN
1994,NaN,NaN,NaN,NaN,NaN,NaN
1995,34520.6839596078,NaN,NaN,NaN,NaN,NaN
1996,2939.74684352941,NaN,NaN,NaN,NaN,NaN
1997,3128.86304901961,NaN,NaN,NaN,NaN,NaN
1998,2303.00359176471,NaN,NaN,NaN,NaN,NaN
1999,6794.2467427451,NaN,NaN,NaN,NaN,NaN
2000,15317.6025717647,NaN,NaN,NaN,NaN,NaN
2001,108380.737372941,121370.673667071,108811.013051226,NaN,NaN,NaN
2002,6440.6337227451,3285.96928666667,7799.68631351254,NaN,NaN,NaN
2003,84916.8464305883,116208.672857371,104518.265535571,NaN,NaN,NaN
2004,9615.82001098039,625.00793057598,5531.08109445694,NaN,NaN,NaN
2005,36744.2859192157,24359.1530975122,39445.7720635028,NaN,NaN,NaN
2006,43257.2098090196,40798.6782592463,44277.9102798278,NaN,NaN,NaN
2007,12922.7749243137,7050.93833199143,9847.98172304994,NaN,NaN,NaN
2008,1053.47239254902,507.243136507353,64.2513426738664,NaN,NaN,NaN
2009,19434.4219745098,8357.80458522058,14483.8218937929,NaN,NaN,NaN
2010,51543.557667451,30420.4831756126,44869.431943572,NaN,NaN,NaN
2011,12139.4431976471,2209.25224511642,4649.48380040211,NaN,NaN,NaN
2012,19480.1143156863,3878.01502792892,13616.2053849954,NaN,NaN,NaN
2013,178774.731053333,173373.577284271,162821.836319466,NaN,199185.472925741,NaN
2014,47976.7862058823,57012.0040485293,54585.8401992189,NaN,61856.9586335283,NaN
2015,6712.84555568627,3752.86817954044,3653.87211734681,NaN,10037.0603214253,NaN
2016,230448.650436863,185004.943818854,265133.802206816,NaN,212487.361561034,NaN
2017,2984.14101176471,1663.54506936274,2112.78407523744,2997.66089021599,2860.42152430158,NaN
2018,234136.76469451,249866.864475059,282815.207089277,284661.762735036,273328.219692909,NaN
2019,NaN,167957.275884485,230445.246062912,235962.674891778,215114.56227613,207225.52030729
2020,NaN,503443.971981456,NaN,635205.812475608,808218.967238329,790656.841388891
