system:index,BAMod_bool,BAMod_class,BAS3_bool,BAS3_class,FinalBurn_class,Landsat_bool,Landsat_class,TM_bool,TM_class,comb,issubset_BAMod,issubset_BAS3,issubset_Landsat,issubset_TM,lat,lon,sampleID
1_1_2_1_1_2_1_1_2_1_1_2_2_00000000000000000086,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.50103097,132.6579799,1000
1_1_2_1_1_2_1_1_2_1_1_2_2_00000000000000000087,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.50355929,146.7372927,2180
1_1_2_1_1_2_1_1_2_1_1_2_2_00000000000000000088,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.50393831,150.0109194,1889
1_1_2_1_1_2_1_1_2_1_1_2_2_00000000000000000089,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.50891912,133.899028,2000
1_1_1_1_1_1_1_1_1_1_2_1_1_1_1_1_1_1_2_00000000000000000661,1,2,1,2,2,1,2,0,0,9,1,1,1,1,66.51064034,137.8248161,2755
1_1_2_1_1_2_1_1_2_1_1_2_2_0000000000000000008a,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.51224561,135.1328523,585
1_1_1_1_2_1_1_1_2_1_1_1_1_1_2_00000000000000000570,0,0,1,1,1,1,1,0,0,11,1,1,1,0,66.51287881,124.839352,1714
1_1_2_1_1_2_1_1_2_1_1_2_2_0000000000000000008b,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.51442611,150.1298303,1033
1_1_2_1_1_2_1_1_2_1_1_2_2_0000000000000000008c,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.51519754,132.9599547,1771
1_1_2_1_1_2_1_1_2_1_1_2_2_0000000000000000008d,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.51542941,133.4689566,1014
1_1_2_1_1_2_1_1_2_1_1_2_2_0000000000000000008e,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.51563453,124.6745748,1263
1_1_1_1_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000040,0,0,1,2,2,1,2,1,2,3,1,1,1,1,66.51626772,136.2798758,276
1_1_2_1_1_2_1_1_2_1_1_2_2_0000000000000000008f,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.51654865,136.6626138,2942
1_1_1_2_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000010,0,0,1,1,1,1,1,1,1,3,0,1,1,1,66.51664675,133.3180116,34
1_1_2_1_1_2_1_1_2_1_1_2_2_00000000000000000090,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.51807812,130.4324381,1897
1_1_1_2_1_2_1_2_1_2_00000000000000000091,0,0,1,2,0,0,0,0,0,15,0,1,1,1,66.5196388,133.9666591,3208
1_1_2_1_1_2_1_1_2_1_1_2_2_00000000000000000092,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.52168553,129.8294026,1474
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000578,1,1,1,1,1,1,1,1,1,1,1,1,1,1,66.52437437,124.3456492,158
1_1_1_1_1_1_1_1_1_1_2_1_1_1_1_1_1_1_2_00000000000000000662,1,2,1,2,2,1,2,0,0,9,1,1,1,1,66.52550252,135.7867795,31
1_1_2_1_1_2_1_1_2_1_1_2_2_00000000000000000093,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.52589046,125.8379944,2053
1_1_2_1_1_2_1_1_2_1_1_2_2_00000000000000000094,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.52593505,150.0064693,2475
1_1_1_1_2_1_1_1_2_1_1_1_1_1_2_00000000000000000006,0,0,1,2,0,1,2,0,0,11,1,1,1,0,66.53220455,147.6647099,1357
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000057a,1,1,1,1,1,1,1,1,1,1,1,1,1,1,66.53329703,125.240136,168
1_1_1_1_2_1_2_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000079,0,0,1,2,2,0,0,1,2,7,1,1,1,1,66.53520553,171.0170846,35
1_1_1_1_1_1_2_2_1_1_1_2_00000000000000000571,1,1,1,1,1,0,0,0,0,13,1,1,0,0,66.5387951,124.2431568,22
1_1_2_1_1_2_1_1_2_1_1_2_2_00000000000000000095,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.54439573,112.5888547,2480
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_0000000000000000066c,1,2,1,2,2,1,2,1,2,1,1,1,1,1,66.54469449,137.8184663,1849
1_1_2_1_1_2_1_1_2_1_1_2_2_00000000000000000096,0,0,0,0,0,0,0,0,0,0,1,1,1,1,66.54493082,160.9992102,2697
