system:time_start,GFEDv4s,FINNv1.5,GFASv1.2,QFEDv2.5r1,FEERv1.0-G1.2
"Jan 1, 2003",0.004,0.003,0.009,0.024,0.007
"Jan 1, 2004",0,0,0.001,0.002,0.001
"Jan 1, 2005",0.004,0.002,0.005,0.011,0.003
"Jan 1, 2006",0.001,0.001,0.001,0.002,0.002
"Jan 1, 2007",0.001,0,0.001,0.003,0.001
"Jan 1, 2008",0.001,0,0,0.001,0
"Jan 1, 2009",0.001,0.001,0.002,0.004,0.002
"Jan 1, 2010",0.003,0.001,0.004,0.007,0.007
"Jan 1, 2011",0,0.001,0.003,0.006,0.01
"Jan 1, 2012",0.001,0.001,0.004,0.007,0.012
"Jan 1, 2013",0.008,0.005,0.017,0.025,0.03
"Jan 1, 2014",0.002,0.001,0.005,0.007,0.009
"Jan 1, 2015",0,0,0.001,0.004,0.003
"Jan 1, 2016",0.009,0.002,0.005,0.007,0.01
"Jan 1, 2017",0,0,0,0.001,0.001
"Jan 1, 2018",0.017,0.003,0.018,0.023,0.013
"Jan 1, 2019",0.042,0.01,0.033,0.062,0.033
"Jan 1, 2020",0.078,0.014,0.068,0.097,0.076
