system:time_start,GFEDv4s,FINNv1.5,GFASv1.2,QFEDv2.5r1,FEERv1.0-G1.2
"Jan 1, 2003",0.065,0.014,0.078,0.055,0.037
"Jan 1, 2004",0.002,0.001,0.019,0.005,0.004
"Jan 1, 2005",0.056,0.009,0.053,0.024,0.017
"Jan 1, 2006",0.018,0.003,0.011,0.005,0.009
"Jan 1, 2007",0.007,0.002,0.007,0.007,0.004
"Jan 1, 2008",0.014,0.001,0.002,0.001,0.001
"Jan 1, 2009",0.016,0.004,0.015,0.008,0.008
"Jan 1, 2010",0.052,0.005,0.039,0.016,0.034
"Jan 1, 2011",0.004,0.003,0.027,0.013,0.049
"Jan 1, 2012",0.011,0.006,0.037,0.016,0.059
"Jan 1, 2013",0.117,0.032,0.152,0.055,0.152
"Jan 1, 2014",0.027,0.005,0.049,0.015,0.047
"Jan 1, 2015",0.003,0.001,0.013,0.01,0.013
"Jan 1, 2016",0.119,0.011,0.072,0.019,0.053
"Jan 1, 2017",0.004,0.002,0.009,0.002,0.006
"Jan 1, 2018",0.218,0.018,0.154,0.046,0.065
"Jan 1, 2019",0.556,0.053,0.286,0.133,0.17
"Jan 1, 2020",0.984,0.072,0.595,0.217,0.388
