system:time_start,GFEDv4s,FINNv1.5,GFASv1.2,QFEDv2.5r1,FEERv1.0-G1.2
"Jan 1, 2003",1.161,0.369,1.665,1.413,1.019
"Jan 1, 2004",0.03,0.028,0.239,0.133,0.102
"Jan 1, 2005",1.098,0.238,1.059,0.618,0.453
"Jan 1, 2006",0.372,0.079,0.234,0.145,0.254
"Jan 1, 2007",0.144,0.052,0.143,0.18,0.102
"Jan 1, 2008",0.286,0.022,0.041,0.038,0.026
"Jan 1, 2009",0.299,0.114,0.337,0.205,0.226
"Jan 1, 2010",0.988,0.139,0.845,0.424,0.938
"Jan 1, 2011",0.086,0.09,0.596,0.361,1.347
"Jan 1, 2012",0.231,0.146,0.791,0.433,1.605
"Jan 1, 2013",2.242,0.816,3.239,1.399,4.123
"Jan 1, 2014",0.493,0.125,0.974,0.373,1.281
"Jan 1, 2015",0.067,0.038,0.248,0.262,0.363
"Jan 1, 2016",2.333,0.285,1.194,0.542,1.45
"Jan 1, 2017",0.087,0.055,0.14,0.057,0.15
"Jan 1, 2018",4.438,0.48,3.397,1.134,1.78
"Jan 1, 2019",11.166,1.408,6.271,3.351,4.615
"Jan 1, 2020",20.302,1.937,12.876,5.581,10.536
