system:time_start,GFEDv4s,FINNv1.5,GFASv1.2,QFEDv2.5r1,FEERv1.0-G1.2
"Jan 1, 2003",12.896,9.309,24.478,29.563,26.125
"Jan 1, 2004",0.338,0.719,2.556,3.156,2.588
"Jan 1, 2005",12.583,5.93,15.171,12.464,11.56
"Jan 1, 2006",4.305,1.991,3.462,3.502,6.514
"Jan 1, 2007",1.654,1.305,2.127,3.989,2.61
"Jan 1, 2008",3.336,0.544,0.59,0.819,0.661
"Jan 1, 2009",3.381,2.858,5.015,4.11,5.747
"Jan 1, 2010",11.176,3.489,12.564,9.328,23.996
"Jan 1, 2011",0.987,2.227,8.879,8.135,34.524
"Jan 1, 2012",2.672,3.633,11.686,9.694,41.126
"Jan 1, 2013",25.496,18.671,47.643,28.659,104.5
"Jan 1, 2014",5.498,3.152,13.89,7.465,32.841
"Jan 1, 2015",0.765,0.979,3.505,6.091,9.301
"Jan 1, 2016",26.692,7.174,15.516,13.207,37.184
"Jan 1, 2017",1.019,1.373,1.722,1.395,3.836
"Jan 1, 2018",51.361,12.064,50.596,20.655,45.626
"Jan 1, 2019",128.708,35.556,93.27,66.155,117.64
"Jan 1, 2020",235.836,49.039,190.488,115.689,269.422
