system:time_start,GFEDv4s,FINNv1.5,GFASv1.2,QFEDv2.5r1,FEERv1.0-G1.2
"Jan 1, 2003",0.078,0.035,0.141,0.29,0.051
"Jan 1, 2004",0.002,0.003,0.012,0.017,0.005
"Jan 1, 2005",0.079,0.022,0.087,0.14,0.023
"Jan 1, 2006",0.027,0.008,0.02,0.016,0.013
"Jan 1, 2007",0.01,0.005,0.012,0.031,0.005
"Jan 1, 2008",0.021,0.002,0.003,0.007,0.001
"Jan 1, 2009",0.021,0.011,0.029,0.047,0.011
"Jan 1, 2010",0.069,0.013,0.073,0.074,0.047
"Jan 1, 2011",0.006,0.008,0.052,0.057,0.067
"Jan 1, 2012",0.017,0.014,0.068,0.071,0.08
"Jan 1, 2013",0.159,0.074,0.275,0.305,0.209
"Jan 1, 2014",0.034,0.012,0.079,0.086,0.064
"Jan 1, 2015",0.005,0.004,0.02,0.036,0.018
"Jan 1, 2016",0.168,0.027,0.084,0.058,0.072
"Jan 1, 2017",0.007,0.005,0.009,0.006,0.007
"Jan 1, 2018",0.327,0.045,0.294,0.321,0.089
"Jan 1, 2019",0.815,0.131,0.542,0.802,0.232
"Jan 1, 2020",1.506,0.18,1.103,1.177,0.527
