system:time_start,GFEDv4s,FINNv1.5,GFASv1.2,QFEDv2.5r1,FEERv1.0-G1.2
"Jan 1, 2003",0.125,0.05,0.199,0.426,0.083
"Jan 1, 2004",0.003,0.004,0.017,0.026,0.008
"Jan 1, 2005",0.126,0.032,0.122,0.205,0.037
"Jan 1, 2006",0.044,0.011,0.028,0.025,0.021
"Jan 1, 2007",0.017,0.007,0.017,0.046,0.008
"Jan 1, 2008",0.034,0.003,0.005,0.011,0.002
"Jan 1, 2009",0.033,0.015,0.041,0.069,0.018
"Jan 1, 2010",0.11,0.019,0.102,0.11,0.076
"Jan 1, 2011",0.01,0.012,0.072,0.086,0.109
"Jan 1, 2012",0.027,0.02,0.095,0.106,0.13
"Jan 1, 2013",0.253,0.109,0.387,0.446,0.338
"Jan 1, 2014",0.053,0.017,0.111,0.126,0.104
"Jan 1, 2015",0.008,0.005,0.028,0.055,0.029
"Jan 1, 2016",0.267,0.039,0.119,0.091,0.118
"Jan 1, 2017",0.01,0.007,0.013,0.009,0.012
"Jan 1, 2018",0.52,0.064,0.413,0.462,0.144
"Jan 1, 2019",1.298,0.188,0.761,1.167,0.377
"Jan 1, 2020",2.399,0.258,1.551,1.727,0.857
