system:time_start,Total,SAVA,BORF,TEMF,DEFO,PEAT,AGRI
"Jan 1, 1997",1.265,0,1.112,0,0,0.153,0
"Jan 1, 1998",2.919,0,2.597,0,0,0.322,0
"Jan 1, 1999",1.488,0,1.293,0,0,0.195,0
"Jan 1, 2000",0.49,0,0.425,0,0,0.065,0
"Jan 1, 2001",23.778,0,22.363,0,0,1.416,0
"Jan 1, 2002",1.249,0,1.185,0,0,0.065,0
"Jan 1, 2003",4.063,0,3.525,0,0,0.538,0
"Jan 1, 2004",0.106,0,0.1,0,0,0.006,0
"Jan 1, 2005",3.944,0,3.728,0,0,0.216,0
"Jan 1, 2006",1.347,0,1.303,0,0,0.045,0
"Jan 1, 2007",0.518,0,0.496,0,0,0.022,0
"Jan 1, 2008",1.042,0,1.032,0,0,0.01,0
"Jan 1, 2009",1.062,0,0.967,0,0,0.095,0
"Jan 1, 2010",3.511,0,3.201,0,0,0.309,0
"Jan 1, 2011",0.309,0,0.297,0,0,0.012,0
"Jan 1, 2012",0.836,0,0.808,0,0,0.029,0
"Jan 1, 2013",8.002,0,7.408,0,0,0.594,0
"Jan 1, 2014",1.731,0,1.518,0,0,0.214,0
"Jan 1, 2015",0.24,0,0.222,0,0,0.018,0
"Jan 1, 2016",8.369,0,7.875,0,0,0.494,0
"Jan 1, 2017",0.319,0,0.314,0,0,0.004,0
"Jan 1, 2018",16.073,0,15.569,0,0,0.504,0
"Jan 1, 2019",40.304,0,38.647,0,0,1.658,0
"Jan 1, 2020",73.758,0,72.107,0,0,1.651,0
"Jan 1, 2021",15.457,0,15.033,0,0,0.424,0
