system:time_start,Total,SAVA,BORF,TEMF,DEFO,PEAT,AGRI
"Jan 1, 1997",0.02,0,0.014,0,0,0.006,0
"Jan 1, 1998",0.045,0,0.033,0,0,0.012,0
"Jan 1, 1999",0.024,0,0.017,0,0,0.007,0
"Jan 1, 2000",0.008,0,0.005,0,0,0.002,0
"Jan 1, 2001",0.338,0,0.287,0,0,0.052,0
"Jan 1, 2002",0.018,0,0.015,0,0,0.002,0
"Jan 1, 2003",0.065,0,0.045,0,0,0.02,0
"Jan 1, 2004",0.002,0,0.001,0,0,0,0
"Jan 1, 2005",0.056,0,0.048,0,0,0.008,0
"Jan 1, 2006",0.018,0,0.017,0,0,0.002,0
"Jan 1, 2007",0.007,0,0.006,0,0,0.001,0
"Jan 1, 2008",0.014,0,0.013,0,0,0,0
"Jan 1, 2009",0.016,0,0.012,0,0,0.003,0
"Jan 1, 2010",0.052,0,0.041,0,0,0.011,0
"Jan 1, 2011",0.004,0,0.004,0,0,0,0
"Jan 1, 2012",0.011,0,0.01,0,0,0.001,0
"Jan 1, 2013",0.117,0,0.095,0,0,0.022,0
"Jan 1, 2014",0.027,0,0.019,0,0,0.008,0
"Jan 1, 2015",0.003,0,0.003,0,0,0.001,0
"Jan 1, 2016",0.119,0,0.101,0,0,0.018,0
"Jan 1, 2017",0.004,0,0.004,0,0,0,0
"Jan 1, 2018",0.218,0,0.2,0,0,0.018,0
"Jan 1, 2019",0.556,0,0.495,0,0,0.06,0
"Jan 1, 2020",0.984,0,0.924,0,0,0.06,0
"Jan 1, 2021",0.208,0,0.193,0,0,0.015,0
