system:time_start,Total,SAVA,BORF,TEMF,DEFO,PEAT,AGRI
"Jan 1, 1997",4.018,0,3.561,0,0,0.457,0
"Jan 1, 1998",9.279,0,8.318,0,0,0.961,0
"Jan 1, 1999",4.723,0,4.14,0,0,0.582,0
"Jan 1, 2000",1.554,0,1.361,0,0,0.193,0
"Jan 1, 2001",75.839,0,71.61,0,0,4.229,0
"Jan 1, 2002",3.986,0,3.793,0,0,0.193,0
"Jan 1, 2003",12.896,0,11.289,0,0,1.607,0
"Jan 1, 2004",0.338,0,0.319,0,0,0.019,0
"Jan 1, 2005",12.583,0,11.937,0,0,0.646,0
"Jan 1, 2006",4.305,0,4.171,0,0,0.134,0
"Jan 1, 2007",1.654,0,1.588,0,0,0.065,0.001
"Jan 1, 2008",3.336,0,3.306,0,0,0.03,0
"Jan 1, 2009",3.381,0,3.097,0,0,0.284,0
"Jan 1, 2010",11.176,0,10.251,0,0,0.924,0
"Jan 1, 2011",0.987,0,0.95,0,0,0.037,0
"Jan 1, 2012",2.672,0,2.587,0,0,0.085,0
"Jan 1, 2013",25.496,0,23.721,0,0,1.775,0
"Jan 1, 2014",5.498,0,4.86,0,0,0.639,0
"Jan 1, 2015",0.765,0,0.712,0,0,0.053,0
"Jan 1, 2016",26.692,0,25.216,0,0,1.476,0
"Jan 1, 2017",1.019,0,1.006,0,0,0.013,0
"Jan 1, 2018",51.361,0,49.857,0,0,1.505,0
"Jan 1, 2019",128.708,0,123.755,0,0,4.953,0
"Jan 1, 2020",235.836,0,230.902,0,0,4.933,0
"Jan 1, 2021",49.405,0,48.14,0,0,1.266,0
