system:time_start,Total,SAVA,BORF,TEMF,DEFO,PEAT,AGRI
"Jan 1, 1997",0.001,0,0.001,0,0,0,0
"Jan 1, 1998",0.002,0,0.002,0,0,0,0
"Jan 1, 1999",0.001,0,0.001,0,0,0,0
"Jan 1, 2000",0,0,0,0,0,0,0
"Jan 1, 2001",0.02,0,0.02,0,0,0,0
"Jan 1, 2002",0.001,0,0.001,0,0,0,0
"Jan 1, 2003",0.003,0,0.003,0,0,0,0
"Jan 1, 2004",0,0,0,0,0,0,0
"Jan 1, 2005",0.003,0,0.003,0,0,0,0
"Jan 1, 2006",0.001,0,0.001,0,0,0,0
"Jan 1, 2007",0,0,0,0,0,0,0
"Jan 1, 2008",0.001,0,0.001,0,0,0,0
"Jan 1, 2009",0.001,0,0.001,0,0,0,0
"Jan 1, 2010",0.003,0,0.003,0,0,0,0
"Jan 1, 2011",0,0,0,0,0,0,0
"Jan 1, 2012",0.001,0,0.001,0,0,0,0
"Jan 1, 2013",0.007,0,0.007,0,0,0,0
"Jan 1, 2014",0.001,0,0.001,0,0,0,0
"Jan 1, 2015",0,0,0,0,0,0,0
"Jan 1, 2016",0.007,0,0.007,0,0,0,0
"Jan 1, 2017",0,0,0,0,0,0,0
"Jan 1, 2018",0.014,0,0.014,0,0,0,0
"Jan 1, 2019",0.035,0,0.034,0,0,0.001,0
"Jan 1, 2020",0.064,0,0.064,0,0,0.001,0
"Jan 1, 2021",0.013,0,0.013,0,0,0,0
