doy,lat,lon,status,fireid
114,66.145,76.9488,1,19114002
114,66.1507,76.944,2,19114002
114,66.7438,79.6197,1,19114001
114,66.2135,77.2306,1,19114004
114,66.1405,76.9429,2,19114002
114,66.2083,77.238,2,19114004
114,66.7474,79.6208,2,19114001
114,66.2165,77.2382,2,19114004
114,69.3718,88.1397,1,19114003
114,69.3661,88.1362,2,19114003
114,66.1394,76.9683,2,19114002
114,66.1456,76.9415,2,19114002
115,69.372,88.121,3,19114003
115,66.204,77.236,3,19114004
115,66.2125,77.2266,3,19114004
115,66.9393,74.8053,1,19115001
115,66.2118,77.2425,3,19114004
117,67.2409,130.5179,1,19117001
121,65.9715,117.3288,1,19121001
121,65.9735,117.3289,2,19121001
121,65.9742,117.3359,2,19121001
122,66.0526,117.4918,1,19122001
123,67.8879,131.2486,1,19123001
123,67.8893,131.2404,2,19123001
124,67.9538,134.5977,1,19124001
124,68.1933,134.9366,1,19124002
128,66.0864,117.436,3,19122001
128,66.0898,117.4151,3,19122001
128,66.0854,117.4225,3,19122001
128,66.082,117.4059,3,19122001
128,66.0861,117.4081,3,19122001
129,68.3336,135.1175,1,19129001
129,68.3123,135.0769,2,19129001
131,68.4685,135.4427,1,19131001
131,67.0948,130.4267,1,19131002
131,69.3157,88.2463,3,19114003
132,68.5192,134.7956,1,19132001
132,68.515,134.8288,2,19132001
132,68.5128,134.8621,2,19132001
132,68.5068,134.8887,2,19132001
132,68.5102,134.8209,2,19132001
132,68.5041,134.8476,2,19132001
132,68.4955,134.8331,2,19132001
132,67.8432,135.6337,1,19132002
132,68.4819,134.8773,2,19132001
132,68.4921,134.8708,2,19132001
132,68.5023,134.8642,2,19132001
132,68.4994,134.8318,2,19132001
132,68.5095,134.8252,2,19132001
132,67.5681,134.1133,1,19132003
133,66.7812,142.7068,1,19133001
133,69.3121,88.2309,3,19114003
133,69.3216,88.2233,3,19114003
133,69.3166,88.2401,3,19114003
134,66.7416,142.6927,3,19133001
134,66.7455,142.6918,3,19133001
134,69.3722,88.1218,3,19114003
135,69.0735,134.3248,1,19135005
135,67.8513,135.4643,3,19132002
135,67.0942,134.3003,1,19135006
135,66.9929,134.2785,1,19135004
135,66.9901,134.3042,2,19135004
135,67.1815,134.5377,1,19135001
135,67.1787,134.5633,2,19135001
135,67.2172,135.3461,1,19135002
135,67.2144,135.3711,2,19135002
135,66.9013,134.2621,2,19135004
135,66.8985,134.2877,2,19135004
135,67.0377,135.3594,1,19135003
135,67.044,135.3908,2,19135003
135,67.0349,135.384,2,19135003
135,67.0344,135.3033,2,19135003
